,epoch,total time,train loss,val loss,test loss,train Precision,val Precision,test Precision,train Recall,val Recall,test Recall,train F1,val F1,test F1,train ROC,val ROC,test ROC,train Jaccard Score,val Jaccard Score,test Jaccard Score,train Confusion Matrix,val Confusion Matrix,test Confusion Matrix
0,0,6.590550422668457,0.5040132070758513,0.6074114846686522,0.5872509541610876,0.7911669658886894,0.7783191230207065,0.7861915367483296,0.8500115731810817,0.7592352559948153,0.7624190064794817,0.8195343301346426,0.7686587566296681,0.7741228070175439,0.7538362062738653,0.7146538837653708,0.7233147663976356,0.6942466444010335,0.6242451154529307,0.631484794275492,"[[11173  5816]
 [ 3888 22034]]","[[4066 2002]
 [2229 7029]]","[[ 832  384]
 [ 440 1412]]"
1,1,13.11760139465332,0.4780250918120146,0.6158852376043796,0.5966193216542403,0.8102607356338699,0.7433388842631141,0.7530088958660387,0.8523647866676954,0.7714409159645712,0.7769978401727862,0.8307796431727172,0.7571292271811725,0.7648153069359553,0.7739073918623074,0.6825233584437227,0.6944199727179721,0.7105415487522511,0.6091777550324121,0.6191910499139415,"[[11815  5174]
 [ 3827 22095]]","[[3602 2466]
 [2116 7142]]","[[ 744  472]
 [ 413 1439]]"
2,2,19.74604320526123,0.48229806852482615,0.5892946263154347,0.574888908614715,0.8053483718391851,0.757916575671544,0.7604790419161677,0.8539078774785896,0.7497299632750054,0.7543196544276458,0.8289175576235325,0.7538010425716768,0.7573868256980212,0.7694991150298358,0.6921853507871402,0.6962387745822439,0.7078216935277565,0.604880174291939,0.6095113438045375,"[[11639  5350]
 [ 3787 22135]]","[[3851 2217]
 [2317 6941]]","[[ 776  440]
 [ 455 1397]]"
3,3,26.316115140914917,0.4814773643655436,0.5767080160478751,0.5709434747695923,0.8064010498304961,0.7617789520035226,0.7644124168514412,0.853406372965049,0.7474616547850508,0.7446004319654428,0.8292381220129322,0.7545523934140225,0.7543763676148797,0.7703961642916951,0.6954183685922617,0.6975469265090373,0.708289309384305,0.605848362808615,0.6056214317083882,"[[11678  5311]
 [ 3800 22122]]","[[3904 2164]
 [2338 6920]]","[[ 791  425]
 [ 473 1379]]"
4,4,32.90492868423462,0.4812207879232509,0.5774815328419208,0.5715257736543814,0.8026001303686536,0.7493205783237309,0.7558328811720022,0.8549880410462156,0.7445452581551091,0.7521598272138229,0.8279662283323371,0.7469252857994257,0.7539918809201623,0.7670666851884795,0.6822594451619316,0.6910470188700693,0.7064354699901189,0.5960740228294708,0.605125977410947,"[[11538  5451]
 [ 3759 22163]]","[[3762 2306]
 [2365 6893]]","[[ 766  450]
 [ 459 1393]]"
5,5,39.560641288757324,0.4765221367457083,0.5657311911384265,0.5647179844478766,0.8075761435173393,0.74169589436765,0.7419186652763295,0.8561453591543863,0.7766256210844675,0.7683585313174947,0.8311518079508642,0.7587589700295483,0.7549071618037135,0.7724425659742736,0.6819845310432224,0.6806430814482209,0.7110861903236142,0.6112905968372726,0.6063059224541969,"[[11701  5288]
 [ 3729 22193]]","[[3564 2504]
 [2068 7190]]","[[ 721  495]
 [ 429 1423]]"
6,6,46.20686197280884,0.4831706610109125,0.562830034395059,0.5610937861104807,0.8036763106373722,0.730110578334475,0.7318518518518519,0.855142350127305,0.8058976020738821,0.8002159827213823,0.8286109449760766,0.7661344149509678,0.7645086407015734,0.7682033488231439,0.6756910554865126,0.6768349650449016,0.707374668921722,0.620922103861518,0.6187891440501044,"[[11574  5415]
 [ 3755 22167]]","[[3310 2758]
 [1797 7461]]","[[ 673  543]
 [ 370 1482]]"
7,7,53.017056941986084,0.47973784937390257,0.5676247142255306,0.5675806254148483,0.8056238253578141,0.7381001442406758,0.7379958246346555,0.8598873543708048,0.7738172391445236,0.7634989200863931,0.8318716178391491,0.7555368065808901,0.7505307855626328,0.7716647908471835,0.6774491601128024,0.675334986358986,0.7121405750798722,0.6071186440677966,0.6006796941376381,"[[11611  5378]
 [ 3632 22290]]","[[3526 2542]
 [2094 7164]]","[[ 714  502]
 [ 438 1414]]"
8,8,59.67413806915283,0.48008457322915393,0.5736822647353014,0.5780093657473723,0.8060762063589892,0.7390851307700324,0.7370350969093766,0.8577270272355528,0.766148196154677,0.759719222462203,0.8310998972058686,0.7523733757623973,0.7482052645572986,0.7714381207164873,0.6767458185783273,0.673445137546891,0.7110102011448307,0.6030437000510117,0.5977060322854716,"[[11640  5349]
 [ 3688 22234]]","[[3564 2504]
 [2165 7093]]","[[ 714  502]
 [ 445 1407]]"
9,9,66.38310360908508,0.47940177514794324,0.5795514181256294,0.5794991304477056,0.8050123134868897,0.7381252627154267,0.7407407407407407,0.8574955636139187,0.758695182544826,0.7451403887688985,0.8304255239660776,0.7482688824970705,0.7429340511440108,0.7702923106197206,0.6740081054451224,0.6739682207002389,0.7100236376413467,0.5977872340425532,0.5910064239828694,"[[11605  5384]
 [ 3694 22228]]","[[3576 2492]
 [2234 7024]]","[[ 733  483]
 [ 472 1380]]"
10,10,73.07813429832458,0.4799999608879998,0.5866537916163603,0.5870936339100202,0.8046617684317203,0.7539460427627896,0.7524299599771298,0.8576498726950081,0.7274789371354504,0.7105831533477321,0.8303112920393644,0.7404760595899071,0.7309080810885865,0.7699868646540553,0.6826254276975867,0.6772488135159713,0.7098566365465053,0.5879015363128491,0.5759299781181619,"[[11592  5397]
 [ 3690 22232]]","[[3870 2198]
 [2523 6735]]","[[ 783  433]
 [ 536 1316]]"
11,11,79.88631057739258,0.4805340977119548,0.5749909167488416,0.5769448665281137,0.807410111334185,0.7527846869254894,0.7490494296577946,0.8532906411542319,0.7518902570749622,0.7446004319654428,0.8297166007089671,0.7523372061604972,0.7468183049011644,0.7713683766722363,0.6875799340747256,0.6823331107195636,0.7089877556253606,0.602997227997228,0.5959377700950734,"[[11713  5276]
 [ 3803 22119]]","[[3782 2286]
 [2297 6961]]","[[ 754  462]
 [ 473 1379]]"
12,12,86.76297521591187,0.4786931433315788,0.5855226437250773,0.5877403765916824,0.8063839027214823,0.7806281467274035,0.7750151607034567,0.8595787362086259,0.7033916612659322,0.6900647948164147,0.8321320536281137,0.74,0.7300771208226221,0.7723345443948539,0.7009047956955896,0.6924830553029442,0.712522384241494,0.5873015873015873,0.5748987854251012,"[[11639  5350]
 [ 3640 22282]]","[[4238 1830]
 [2746 6512]]","[[ 845  371]
 [ 574 1278]]"
13,13,93.71810007095337,0.4822985915733235,0.5836637084682782,0.5860545486211777,0.8025597454716367,0.7819449453059262,0.7843137254901961,0.856338245505748,0.7026355584359473,0.6911447084233261,0.8285772941901047,0.7401718154406326,0.7347876004592423,0.7674474793365458,0.7018451358428912,0.7008355121063998,0.7073256221521206,0.587518063583815,0.5807622504537205,"[[11528  5461]
 [ 3724 22198]]","[[4254 1814]
 [2753 6505]]","[[ 864  352]
 [ 572 1280]]"
14,14,100.41806483268738,0.480787485749239,0.5756297993163267,0.5779656867186228,0.8033640803038524,0.7510692899914457,0.7474476088124664,0.8567625954787439,0.758695182544826,0.7510799136069114,0.829204547575933,0.754862976894143,0.7492593590088877,0.7683954245272936,0.6875216189586358,0.6822833778560873,0.708240321449072,0.6062489211116865,0.5990525409130061,"[[11553  5436]
 [ 3713 22209]]","[[3740 2328]
 [2234 7024]]","[[ 746  470]
 [ 461 1391]]"
