,epoch,total time,train loss,val loss,test loss,train Precision,val Precision,test Precision,train Recall,val Recall,test Recall,train F1,val F1,test F1,train ROC,val ROC,test ROC,train Jaccard Score,val Jaccard Score,test Jaccard Score,train Confusion Matrix,val Confusion Matrix,test Confusion Matrix
0,0,45.22881770133972,0.35919011517294813,1.3859881927181656,1.3906080863283325,0.8676049891291909,0.9253804614629357,0.9609756097560975,0.8774785896149988,0.20360769064592785,0.21274298056155508,0.872513857189436,0.33377600708278,0.34836427939876213,0.836584959649456,0.589279125481171,0.5997925429123565,0.7738577212261423,0.20031880977683317,0.21092077087794434,"[[13518  3471]
 [ 3176 22746]]","[[5916  152]
 [7373 1885]]","[[1200   16]
 [1458  394]]"
1,1,89.14057540893555,0.27902591689711526,0.9979691250715405,0.980088927395021,0.893452561382237,0.9924464960134285,0.9957894736842106,0.9096520330221434,0.5109094836897818,0.5107991360691144,0.9014795274687464,0.6745579007415858,0.675231977159172,0.8720665839370533,0.7524883608297295,0.753754831192452,0.8206306118187513,0.508930492791048,0.509698275862069,"[[14177  2812]
 [ 2342 23580]]","[[6032   36]
 [4528 4730]]","[[1212    4]
 [ 906  946]]"
2,2,133.20352363586426,0.2505090697446749,0.5398676750560601,0.5313516575843096,0.909268404731825,0.8970040772912604,0.9027169149868537,0.9162487462387161,0.546554331389069,0.5561555075593952,0.9127452299060392,0.6792402174642593,0.6882726361510191,0.8883733577564762,0.7254030720887336,0.7324363064112765,0.8394952636787785,0.5142799064945625,0.5247070809984717,"[[14619  2370]
 [ 2171 23751]]","[[5487  581]
 [4198 5060]]","[[1105  111]
 [ 822 1030]]"
3,3,177.24825882911682,0.23240057137306958,0.6454596499602,0.633274432271719,0.9156322804873391,0.7073801970278845,0.7129745515227367,0.9248514775094514,0.9152084683516958,0.9227861771058316,0.9202187889837827,0.7979845545300434,0.8044245704871734,0.8974130835072126,0.6687940825608183,0.6784983517108105,0.8522270804450606,0.6638721303768707,0.6728346456692913,"[[14780  2209]
 [ 1948 23974]]","[[2563 3505]
 [ 785 8473]]","[[ 528  688]
 [ 143 1709]]"
4,4,220.98019790649414,0.21705446019768715,0.34383131152329344,0.3332726079970598,0.9200061005833683,0.8492664685012945,0.8541266794625719,0.9308309544016665,0.9566861093108663,0.9611231101511879,0.9253868722314905,0.8997815817544572,0.9044715447154471,0.9036696416601893,0.8488110836600475,0.855561555075594,0.8611349036402569,0.8178208679593721,0.8256029684601113,"[[14891  2098]
 [ 1793 24129]]","[[4496 1572]
 [ 401 8857]]","[[ 912  304]
 [  72 1780]]"
5,5,264.5605697631836,0.20072968949430756,0.561987267434597,0.5143548436462879,0.9271831685058612,0.9023970638834728,0.9073756432246999,0.936733276753337,0.8498595809030028,0.8569114470842333,0.931933756788394,0.8753407131334483,0.8814218272702027,0.912242087196493,0.8548078392319893,0.8618438814368535,0.8725430306514786,0.7783163517657533,0.7879841112214498,"[[15082  1907]
 [ 1640 24282]]","[[5217  851]
 [1390 7868]]","[[1054  162]
 [ 265 1587]]"
6,6,308.30364418029785,0.19222891242021606,0.33134590219706295,0.3134337356314063,0.9309262166405023,0.8670265946810638,0.875,0.93792917213178,0.9367033916612659,0.933585313174946,0.9344145736851208,0.9005192107995846,0.9033437826541275,0.9158714081272238,0.8587603972149441,0.8652301565874729,0.8769025463463896,0.8190404231205138,0.8237255836112435,"[[15185  1804]
 [ 1609 24313]]","[[4738 1330]
 [ 586 8672]]","[[ 969  247]
 [ 123 1729]]"
7,7,352.0062258243561,0.1819788081837552,0.4624299917370081,0.4451794841637214,0.9339351975823419,0.85284618490109,0.8579401319127347,0.9418254764292878,0.9127241304817455,0.9130669546436285,0.9378637420048787,0.8817698006887196,0.8846455663091812,0.9200857325050671,0.8362236341268319,0.8414018983744458,0.8829975767658866,0.7885405001866368,0.7931519699812383,"[[15262  1727]
 [ 1508 24414]]","[[4610 1458]
 [ 808 8450]]","[[ 936  280]
 [ 161 1691]]"
8,8,395.7679421901703,0.1835498355683826,0.35611808486282825,0.33823850005865097,0.9341108986615678,0.9058390907064854,0.9112590127565169,0.9423269809428285,0.878051414992439,0.8871490280777538,0.93820095252727,0.8917288284335235,0.8990424076607387,0.9204542079945175,0.8693981531125676,0.8777850403546664,0.8835955869054078,0.8046124913392062,0.8166003976143141,"[[15266  1723]
 [ 1495 24427]]","[[5223  845]
 [1129 8129]]","[[1056  160]
 [ 209 1643]]"
9,9,439.70419001579285,0.17143071815371513,4.238490358631437,3.9678818188452474,0.9384073237062857,0.9235203689469639,0.9281867145421903,0.9451045444024381,0.2595593000648088,0.2791576673866091,0.9417440273693517,0.4052276559865093,0.4292237442922374,0.9252275326638713,0.6133821549763727,0.6231314652722519,0.8899019251725391,0.2540974939198477,0.27325581395348836,"[[15381  1608]
 [ 1423 24499]]","[[5869  199]
 [6855 2403]]","[[1176   40]
 [1335  517]]"
