,epoch,total time,train loss,val loss,test loss,train Precision,val Precision,test Precision,train Recall,val Recall,test Recall,train F1,val F1,test F1,train ROC,val ROC,test ROC,train Jaccard Score,val Jaccard Score,test Jaccard Score,train Confusion Matrix,val Confusion Matrix,test Confusion Matrix
0,0,25.345258474349976,0.33052452755648465,1.1373985063284635,1.1280405030896266,0.8871178368412966,0.9807846277021617,0.9759036144578314,0.8910192114805956,0.13231799524735363,0.13120950323974082,0.8890642441972362,0.23317788141239174,0.23131841980009518,0.8590124605286903,0.5641814102802358,0.5631376463567125,0.8002841204393473,0.13197586726998492,0.13078579117330463,"[[14050  2939]
 [ 2825 23097]]","[[6044   24]
 [8033 1225]]","[[1210    6]
 [1609  243]]"
1,1,50.38176202774048,0.30198363312298343,1.9555427089954416,1.895496563675503,0.8985818321195861,0.981651376146789,0.9841269841269841,0.904405524265103,0.11557571829768848,0.13390928725701945,0.9014842728601092,0.20680324700425204,0.23574144486692014,0.8743288437147516,0.5561398696959767,0.5653099067864046,0.820638476617194,0.11532657900409571,0.1336206896551724,"[[14343  2646]
 [ 2478 23444]]","[[6048   20]
 [8188 1070]]","[[1212    4]
 [1604  248]]"
2,2,75.38515281677246,0.2817247859424069,0.6220971897244454,0.5710007411738237,0.907636975818794,0.8882621219395104,0.8958953004164188,0.9151300054008178,0.7994167206740117,0.8131749460043196,0.911368089438703,0.8415008527572484,0.8525332578545146,0.8865190317780474,0.8229944513060237,0.8346302361600545,0.8371682665160926,0.7263715771910885,0.7429699062654169,"[[14575  2414]
 [ 2200 23722]]","[[5137  931]
 [1857 7401]]","[[1041  175]
 [ 346 1506]]"
3,3,100.22136569023132,0.26730331583392053,0.4441701674213012,0.42281586801012355,0.9134162679425837,0.8839760638297872,0.8851463279955826,0.92056940050922,0.8616331821127673,0.8655507559395248,0.9169788844698061,0.8726616343944864,0.8752388752388752,0.8937122121740873,0.8445443431987699,0.8472490621802887,0.8466860630144764,0.7740902474526928,0.7781553398058253,"[[14727  2262]
 [ 2059 23863]]","[[5021 1047]
 [1281 7977]]","[[1008  208]
 [ 249 1603]]"
4,4,125.04761862754822,0.25341486438576666,0.9239167029658953,0.9199502418438593,0.9206227471431858,0.8097121511755658,0.821505376344086,0.9261631046987115,0.3980341326420393,0.41252699784017277,0.9233846153846154,0.5337098993410095,0.5492451473759885,0.9021597794374716,0.6276591230118569,0.638006919972718,0.8576736210345813,0.3639865665744765,0.3785926660059465,"[[14919  2070]
 [ 1914 24008]]","[[5202  866]
 [5573 3685]]","[[1050  166]
 [1088  764]]"
5,5,150.21083998680115,0.2409542068129494,1.3430131811959047,1.3516241749748588,0.9248691799396509,0.6143226919758412,0.6125082726671078,0.9341100223748168,0.9997839706200043,0.9994600431965442,0.9294666333992284,0.761027749229188,0.7595404185473943,0.9091646115170333,0.5210686497793495,0.5182333110719564,0.8682276166230414,0.6142411573428894,0.6123056566324843,"[[15022  1967]
 [ 1708 24214]]","[[ 257 5811]
 [   2 9256]]","[[  45 1171]
 [   1 1851]]"
6,6,175.1153917312622,0.23090850521943398,1.6525554430981477,1.6120085574996967,0.9298433730325891,0.9701943844492441,0.989406779661017,0.9366946994830646,0.24260099373514799,0.2521598272138229,0.933256461996733,0.38814481983928106,0.4018932874354561,0.9144301091741063,0.6156149332551811,0.6240239925542799,0.8748648843409959,0.24080626139165862,0.2514808831448573,"[[15157  1832]
 [ 1641 24281]]","[[5999   69]
 [7012 2246]]","[[1211    5]
 [1385  467]]"
7,7,200.0737545490265,0.22228029210652625,0.46279151576260724,0.43558427194754284,0.9328081379785078,0.8686251468860164,0.8730343622597554,0.940976776483296,0.7984445884640311,0.8093952483801296,0.9368746519175741,0.8320576316974336,0.8400112076211824,0.9187784582869715,0.8070996838167221,0.815059466295328,0.8812457097438491,0.7124132613723978,0.7241545893719806,"[[15232  1757]
 [ 1530 24392]]","[[4950 1118]
 [1866 7392]]","[[ 998  218]
 [ 353 1499]]"
8,8,225.05674576759338,0.21678824931205737,0.5725213374942542,0.5395542078961929,0.9356602186711522,0.9197271773347324,0.9204693611473272,0.9441786899159016,0.757399006264852,0.7624190064794817,0.939900153609831,0.8307072621727284,0.8340224453632605,0.9225572948078539,0.8282710258746805,0.8310450295555304,0.8866147437058504,0.7104356636271529,0.7152988855116514,"[[15306  1683]
 [ 1447 24475]]","[[5456  612]
 [2246 7012]]","[[1094  122]
 [ 440 1412]]"
9,9,250.05705976486206,0.2071239911463289,0.5597785886997978,0.5463771289214492,0.9396201853128111,0.7675055641157336,0.7707797772065125,0.946724789753877,0.9684597105206308,0.9713822894168467,0.9431591083781706,0.8563514804202483,0.8595317725752508,0.9269500103928606,0.7604328875609088,0.7657075920768444,0.8924324520891669,0.7487890429263404,0.7536656891495601,"[[15412  1577]
 [ 1381 24541]]","[[3352 2716]
 [ 292 8966]]","[[ 681  535]
 [  53 1799]]"
10,10,275.29915380477905,0.2017507776174517,0.5496627853562435,0.5139399245381355,0.9419890559828569,0.9249035322054022,0.9281045751633987,0.949656662294576,0.6731475480665371,0.6900647948164147,0.9458073191816349,0.7791947986996749,0.7915763394239703,0.9302112259615797,0.7948796408757208,0.8043251605661021,0.8971863838472192,0.6382630069643589,0.65504869297796,"[[15473  1516]
 [ 1305 24617]]","[[5562  506]
 [3026 6232]]","[[1117   99]
 [ 574 1278]]"
11,11,300.22836351394653,0.19461121824791744,0.6263377873847882,0.6087754710266987,0.9439871358015238,0.7455818877758775,0.7475530179445351,0.9511611758351979,0.9888744869302225,0.9897408207343412,0.9475605772371783,0.8501648326136416,0.8517657992565055,0.9325233155649002,0.7370212909272074,0.7403473840513811,0.900346905240095,0.7393797447908254,0.7418049372723594,"[[15526  1463]
 [ 1266 24656]]","[[2944 3124]
 [ 103 9155]]","[[ 597  619]
 [  19 1833]]"
12,12,325.0856192111969,0.19056170256364913,1.8948562142749628,1.8641409346212943,0.9456584133787456,0.9828431372549019,0.9541284403669725,0.9532829257001775,0.04331389068913372,0.056155507559395246,0.9494553628032967,0.0829712393958204,0.10606833248342683,0.9348497152486996,0.5210801490360633,0.5260218327270662,0.9037744129910028,0.04328116567728009,0.05600430802369413,"[[15569  1420]
 [ 1211 24711]]","[[6061    7]
 [8857  401]]","[[1211    5]
 [1748  104]]"
13,13,350.17924094200134,0.18547911057248712,0.4694108402977387,0.4510319158434868,0.9486011711125569,0.8667052023121388,0.8638920134983127,0.9561762209706042,0.8097861309138042,0.8293736501079914,0.9523736335517089,0.8372794281885191,0.8462809917355372,0.9385625351130024,0.8098864734990907,0.8151802461066273,0.9090775719787273,0.7201037364326194,0.7335243553008596,"[[15646  1343]
 [ 1136 24786]]","[[4915 1153]
 [1761 7497]]","[[ 974  242]
 [ 316 1536]]"
14,14,374.93743443489075,0.17974530994182542,0.6135587457567453,0.5845046018560728,0.9512868704691037,0.7698613412400802,0.7741652021089631,0.9567548800246894,0.9535536833009289,0.9514038876889849,0.9540130402169523,0.8519179734620024,0.8536821705426356,0.9410003136364544,0.7593246333445975,0.7643532596339662,0.9120697263901147,0.7420358073463899,0.7447168216398986,"[[15719  1270]
 [ 1121 24801]]","[[3429 2639]
 [ 430 8828]]","[[ 702  514]
 [  90 1762]]"
