,epoch,total time,train loss,val loss,test loss,train Precision,val Precision,test Precision,train Recall,val Recall,test Recall,train F1,val F1,test F1,train ROC,val ROC,test ROC,train Jaccard Score,val Jaccard Score,test Jaccard Score,train Confusion Matrix,val Confusion Matrix,test Confusion Matrix
0,0,582.7011761665344,0.6313165860871474,0.6366565843423208,0.6546574905514717,0.6760979586291227,0.7224108658743633,0.7213290460878885,0.7678805647712368,0.7353640095052927,0.7267818574514039,0.7190723046077705,0.7288298897334332,0.7240451855836472,0.6032880956765714,0.6521249843175771,0.6495751392520178,0.5613683794912291,0.5733535455617315,0.5674536256323778,"[[ 7453  9536]
 [ 6017 19905]]","[[3452 2616]
 [2450 6808]]","[[ 696  520]
 [ 506 1346]]"
1,1,626.4260013103485,0.5878950740609851,0.5517223551869392,0.5511137110491594,0.7230441646169096,0.78,0.7822349570200573,0.7597793380140421,0.7498379779650033,0.7370410367170627,0.7409567163898346,0.7646216543672211,0.7589658048373644,0.6578636521725988,0.7135808215467733,0.7122705183585314,0.588507739197992,0.6189372325249644,0.6115591397849462,"[[ 9445  7544]
 [ 6227 19695]]","[[4110 1958]
 [2316 6942]]","[[ 836  380]
 [ 487 1365]]"
2,2,670.1410160064697,0.5367265487355846,0.6180433864394824,0.6312314681708813,0.7669346434420128,0.7506636716356954,0.7640041493775933,0.794923231232158,0.7941240008641175,0.7953563714902808,0.780678158742186,0.7717824900272937,0.7793650793650794,0.713165894855587,0.6958424882369368,0.7105893699556667,0.6402560278399204,0.6283760683760684,0.6384915474642393,"[[10727  6262]
 [ 5316 20606]]","[[3626 2442]
 [1906 7352]]","[[ 761  455]
 [ 379 1473]]"
3,3,713.8643805980682,0.48862963338338194,0.40965902296205364,0.41021935517589253,0.7955042032366774,0.8370891048170354,0.8392949714878175,0.8286783427204691,0.874702959602506,0.8741900647948164,0.8117524799244213,0.8554827804774984,0.856387199153663,0.7518222486455368,0.8074899109152939,0.8096279271342505,0.683150998600687,0.7474616946649437,0.7488436632747456,"[[11467  5522]
 [ 4441 21481]]","[[4492 1576]
 [1160 8098]]","[[ 906  310]
 [ 233 1619]]"
4,4,757.4284372329712,0.4345917630763281,0.43006938019146523,0.41674913590153057,0.8288244159758854,0.7718214254634062,0.7808817110432126,0.8485842141810046,0.9579822855908403,0.9659827213822895,0.8385879303114635,0.854884572750494,0.8636253922278542,0.7905879455742271,0.7629397255244907,0.7765768870069342,0.7220416871820121,0.7465488215488215,0.759983007646559,"[[12446  4543]
 [ 3925 21997]]","[[3446 2622]
 [ 389 8869]]","[[ 714  502]
 [  63 1789]]"
5,5,801.4255669116974,0.4011367763436976,0.37670437023043635,0.36796949803829193,0.8442231824159309,0.9098240469208211,0.9080528846153846,0.8667926857495564,0.8042773817239145,0.8158747300215983,0.8553590802672403,0.8538011695906432,0.8594994311717861,0.81137621220199,0.8413278800511464,0.8450261808002728,0.7472728482107224,0.7448979591836735,0.7536159600997506,"[[12843  4146]
 [ 3453 22469]]","[[5330  738]
 [1812 7446]]","[[1063  153]
 [ 341 1511]]"
6,6,845.3162701129913,0.38564829009452034,0.3798656390359004,0.3840884603559971,0.8503091073582629,0.930874983939355,0.9327731092436975,0.8701874855335237,0.7825664290343487,0.7791576673866091,0.8601334604385129,0.8503022123114841,0.8490732568402471,0.8182240035237222,0.8469522982350385,0.8468156757985678,0.7545913759074031,0.7395875867701103,0.7377300613496932,"[[13018  3971]
 [ 3365 22557]]","[[5530  538]
 [2013 7245]]","[[1112  104]
 [ 409 1443]]"
7,7,888.924310207367,0.3713386984808104,0.3504786000897487,0.33754084693888825,0.8555201499531396,0.8956343792633015,0.8958333333333334,0.8803718848854255,0.8509397278029812,0.8590712742980562,0.8677681236572428,0.8727151877700232,0.8770672546857773,0.8267596077555622,0.8498271480148724,0.8534665582016597,0.7664226222461042,0.7741745283018868,0.7810505645557192,"[[13135  3854]
 [ 3101 22821]]","[[5150  918]
 [1380 7878]]","[[1031  185]
 [ 261 1591]]"
8,8,932.4308190345764,0.3584456034004688,0.30010181075582903,0.2955265250056982,0.8612766595449605,0.8979613733905579,0.8956428187197418,0.8864285163181853,0.9039749405919205,0.8990280777537797,0.8736716032014601,0.9009581225104963,0.8973322554567502,0.834290837121951,0.8736255718121105,0.8697443020347846,0.77568105863687,0.8197668723675189,0.8137829912023461,"[[13288  3701]
 [ 2944 22978]]","[[5117  951]
 [ 889 8369]]","[[1022  194]
 [ 187 1665]]"
9,9,975.9613864421844,0.3509394155726546,0.3117868567506472,0.3062237333506346,0.8635956398387338,0.8791060291060291,0.8845750262329486,0.8924465704806728,0.9134802333117304,0.9103671706263499,0.8777841016884842,0.8959635554613836,0.8972857903139968,0.8386831121871843,0.8609095299716201,0.8647230589973853,0.782188260751961,0.8115344016888975,0.8137065637065637,"[[13335  3654]
 [ 2788 23134]]","[[4905 1163]
 [ 801 8457]]","[[ 996  220]
 [ 166 1686]]"
